NAMELSAD,Total Population,White,Black,American Indian and Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total Population with Poverty Status Determined,Below 0.5,0.5 to 0.99,1.00 to 1.24,1.25 to 1.49,1.50 to 1.84,1.85 to 1.99,2.00 and Above,Age Below 18,Age Above 65,Cancer (Prevalence),Asthma (Prevalence),Coronary Heart Disease (Prevalence),COPD (Prevalence),Shape
Census Tract 7395,7964,6095,364,0,1101,0,32,7940,395,156,0,0,0,0,0,2158,1366,0,0,0,0,Polygon
Census Tract 7281,5335,4798,156,12,145,25,11,5335,297,145,15,0,0,0,18,1316,878,0,0,0,0,Polygon
Census Tract 7308.01,4196,3603,121,0,246,0,70,4129,196,93,0,0,0,0,0,717,903,10.9,11.1,6.6,5.2,Polygon
Census Tract 7312.02,1634,1200,127,0,143,0,0,0,0,0,0,0,0,0,0,10,0,0.8,16.2,1,3.1,Polygon
Census Tract 7371,5116,4455,126,0,152,0,82,5116,262,114,0,0,0,43,0,979,1071,0,0,0,0,Polygon
Census Tract 7352,4274,3752,186,0,1,0,80,4158,181,147,0,0,15,5,0,616,874,0,0,0,0,Polygon
Census Tract 7315,4927,2322,631,0,419,0,495,4866,1496,700,0,0,129,90,0,930,690,5.8,13.8,8.6,9.7,Polygon
Census Tract 7322.01,3002,1853,597,0,307,0,163,3002,399,136,0,0,33,0,0,352,648,7.7,12.1,6.4,6.3,Polygon
Census Tract 7322.02,4249,2966,109,8,552,0,269,4249,142,61,17,0,0,0,0,815,494,7.2,12,5.4,5.6,Polygon
Census Tract 7324,7525,4080,2229,74,202,0,675,7349,1363,732,139,0,107,123,15,2192,357,5,13.3,6.1,7.4,Polygon
Census Tract 7326,4218,2441,486,0,93,0,229,4210,1072,283,0,0,91,11,2,1009,692,4.9,13.9,6,7.7,Polygon
Census Tract 7327,3819,2254,861,0,56,0,5,3795,434,158,9,0,0,0,0,613,406,6,12.5,5.7,6.1,Polygon
Census Tract 7329.01,7298,4169,1741,0,208,0,396,7251,1169,419,72,0,0,0,0,1479,837,6.6,12.9,6.2,6.8,Polygon
Census Tract 7329.02,3050,2571,139,7,141,9,50,0,0,0,0,0,0,0,0,0,0,0.8,13.6,0.9,2.1,Polygon
Census Tract 7325,1723,969,200,9,100,0,248,1723,503,286,25,0,18,12,0,248,218,4.9,13.1,6.4,7.3,Polygon
Census Tract 7330,3727,2114,521,55,420,0,92,3727,930,463,0,0,0,47,6,703,197,4.7,12.7,6.2,7.2,Polygon
Census Tract 7331.01,2488,1697,208,1,63,0,76,2488,169,68,34,0,4,0,0,446,328,7.8,12.3,6.4,6.4,Polygon
Census Tract 7292,2697,2413,36,7,9,0,41,2688,201,90,0,0,19,0,0,487,715,0,0,0,0,Polygon
Census Tract 7301,7213,4562,1022,0,669,0,295,7213,441,227,20,0,20,0,0,1456,672,7.9,12.2,6,5.8,Polygon
Census Tract 7302,6852,5253,813,0,229,0,207,6810,885,218,42,0,15,34,0,1485,1241,9.1,12.4,7.8,8.1,Polygon
Census Tract 7303,5469,4137,568,0,365,0,62,5361,531,362,0,0,157,68,0,1041,500,8.3,12.4,6.5,6.5,Polygon
Census Tract 7304.01,5855,3290,1256,0,104,0,562,5697,989,239,25,0,38,35,0,993,1148,8,12.4,7.5,7.3,Polygon
Census Tract 7331.02,2470,1613,323,0,273,0,145,2423,333,178,0,0,29,5,18,615,338,6.5,11.8,5.7,5.7,Polygon
Census Tract 7307,7460,5558,809,10,484,31,137,7330,1132,461,0,0,0,21,0,1630,1475,9.3,11.7,7.1,6.7,Polygon
Census Tract 7308.02,2365,1700,176,5,111,0,40,2322,65,25,0,0,0,0,0,439,287,8,11.4,5.4,4.9,Polygon
Census Tract 7309.01,3808,3307,142,12,0,8,7,3740,376,143,11,0,0,0,0,715,839,9.6,11.9,7.1,6.7,Polygon
Census Tract 7309.02,4233,3481,424,0,126,0,73,2756,364,225,0,0,23,27,0,414,553,6,13,5,5.2,Polygon
Census Tract 7311.01,3708,2295,169,0,446,0,531,3688,935,401,10,0,87,0,0,781,695,6.9,12.7,6.9,7.5,Polygon
Census Tract 7319,5680,3049,769,99,99,0,598,5638,1545,652,128,0,109,53,0,1684,564,4.9,13.8,6.8,8.2,Polygon
Census Tract 7320.01,3974,1946,940,0,95,0,476,3974,2396,1074,183,31,304,134,32,1658,145,3.6,15.1,5.8,8.2,Polygon
Census Tract 7271,5005,4391,388,0,76,7,4,4303,81,22,0,0,0,7,0,825,807,0,0,0,0,Polygon
Census Tract 7282,4124,3641,23,0,43,0,20,4106,324,158,11,0,38,0,0,1020,735,0,0,0,0,Polygon
Census Tract 7291,5177,4500,272,6,80,0,107,3959,350,103,0,0,0,18,0,751,1107,0,0,0,0,Polygon
Census Tract 7320.02,5054,3190,480,0,599,4,145,4402,752,351,0,0,66,0,0,583,983,8.7,11.8,7.4,6.7,Polygon
Census Tract 7310.02,6770,4700,681,11,841,0,168,6650,1402,584,43,42,0,7,0,1337,971,7.4,12.4,6.8,6.8,Polygon
Census Tract 7312.03,5731,3673,486,100,783,0,271,5231,2053,695,38,0,0,0,0,722,608,5.1,13.7,7.8,8.2,Polygon
Census Tract 7312.04,2429,1472,190,25,316,0,165,2425,648,339,10,0,26,0,0,369,251,4.5,12.7,6.3,7.2,Polygon
Census Tract 7323.02,4876,3463,500,81,385,0,212,4876,788,296,34,0,0,60,0,1264,615,5.8,13,5.4,6.4,Polygon
Census Tract 7306,9749,8209,543,43,544,16,22,7831,323,99,0,0,0,0,0,1646,2177,8.8,11.4,6.1,5.2,Polygon
Census Tract 7305,3922,1986,775,0,173,0,288,3861,786,330,70,0,22,51,0,1369,184,5.4,12.9,4.7,5.4,Polygon
Census Tract 7365,4538,4255,6,0,146,0,41,4538,85,36,0,0,0,0,0,805,1189,0,0,0,0,Polygon
Census Tract 7392.01,3832,2175,16,0,1017,0,83,3832,238,142,0,0,0,0,0,773,348,0,0,0,0,Polygon
Census Tract 7323.01,5085,4165,440,0,256,0,50,5085,822,457,113,0,11,22,0,1179,562,7.6,13.1,7.2,8.3,Polygon
Census Tract 7328.02,3910,2902,639,0,101,0,216,3903,528,235,32,0,52,8,0,816,554,7.1,12.5,6.3,6.6,Polygon
Census Tract 7362,3916,3795,1,0,51,0,6,3906,170,31,0,0,0,1,0,1021,758,0,0,0,0,Polygon
Census Tract 7363,2582,2201,28,0,140,0,54,2561,122,75,0,4,0,0,17,613,342,0,0,0,0,Polygon
Census Tract 7364,3071,2894,32,0,0,0,79,3065,232,22,0,0,0,0,0,645,544,0,0,0,0,Polygon
Census Tract 7373,6873,6068,56,22,378,33,0,6732,221,55,18,0,0,0,0,1411,1041,0,0,0,0,Polygon
Census Tract 7392.02,3507,2625,52,58,753,0,0,3507,122,24,0,0,0,0,0,929,470,0,0,0,0,Polygon
Census Tract 7318.02,4448,1913,692,361,0,0,465,4357,2038,1003,108,0,88,75,0,1276,460,5.1,14.5,7.5,9.3,Polygon
Census Tract 7318.01,2965,2057,43,15,546,0,41,2965,1190,630,58,0,0,0,0,524,878,8.1,13.4,10.5,10.9,Polygon
Census Tract 7316.02,3221,2559,195,14,345,0,24,905,580,362,0,0,0,0,0,36,96,1.8,14,2.5,4.2,Polygon
Census Tract 7316.01,4357,3311,248,0,274,0,143,3926,1364,873,0,0,0,0,0,173,443,4.5,12.2,5.1,5.4,Polygon
Census Tract 7391.01,4583,2982,0,24,1321,0,21,4583,245,182,0,0,0,0,0,1047,774,0,0,0,0,Polygon
Census Tract 7328.01,6115,3499,1023,0,539,0,551,6115,282,138,0,0,0,0,0,1044,824,8.4,11.5,5.6,5,Polygon
Census Tract 7613,3547,2610,87,0,264,0,42,3500,513,333,0,0,0,123,0,843,534,0,0,0,0,Polygon
Census Tract 7310.01,2860,1136,697,0,673,0,91,2853,147,49,0,0,0,0,0,474,377,7.9,11.8,6.5,6.2,Polygon
Census Tract 7322.03,3093,1875,340,23,317,14,282,2938,325,153,7,0,40,0,0,648,442,5.9,12,5.6,5.7,Polygon
Census Tract 7304.02,2091,1045,361,0,56,0,321,2049,382,171,23,0,52,25,0,551,172,5.1,13.2,5.8,7.1,Polygon
Census Tract 7314,4566,2480,506,33,300,19,516,4449,1668,990,81,0,132,66,10,1009,508,5.1,13.4,7.9,9.1,Polygon
Census Tract 7311.02,3416,2282,247,0,0,0,260,3416,264,199,0,0,24,0,0,691,354,7.1,12,5.8,5.8,Polygon
Census Tract 7317,3594,1969,492,12,379,0,275,3408,1020,529,76,100,10,0,0,526,288,4.3,12.6,4.6,5.1,Polygon
Census Tract 7313,4672,1648,910,56,432,21,747,4576,1406,722,148,0,135,41,0,1336,479,4,13.1,6.5,7.3,Polygon
